10.109.99.75,20/Oct/2012:06:37:57+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,-,24391117,E67717521843DFB8
10.15.128.6,20/Oct/2012:06:40:24+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,748,-,8C504734C134851D
10.15.128.6,20/Oct/2012:06:40:33+0000,DO-007.mp3,-,-,936B8D1A35FCBDD7
10.15.128.6,20/Oct/2012:06:40:34+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,-,24391117,919327A5F6B18555
10.186.158.41,20/Oct/2012:06:40:13+0000,DO-007.mp3,-,23784721,7E2D7D61081A27C5
10.186.158.41,20/Oct/2012:06:40:25+0000,DO-007.mp3,234,24391117,D48FEB91A07A7BA4
10.186.158.41,20/Oct/2012:06:40:25+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,-,24391117,C8837D021E0B6B64
10.194.64.24,20/Oct/2012:06:20:38+0000,-,108,-,2D67143E9FC4AC01
10.194.64.24,20/Oct/2012:06:20:38+0000,-,6749,-,400962471A43727A
10.194.64.24,20/Oct/2012:06:38:29+0000,Episode%2B7_%2BA%2BShocking%2BOccurrence.mp3,-,-,F0CDB9A1C0621CC7
10.217.37.15,20/Oct/2012:06:35:30+0000,Episode%2B7_%2BA%2BShocking%2BOccurence.mp3,-,-,05B25FB7FA663986
10.248.136.44,20/Oct/2012:06:40:18+0000,Episode%2B7_%2BA%2BShocking%2BOccurence.mp3,-,24391117,6978423E123C5EDD
10.87.134.98,20/Oct/2012:06:34:57+0000,Episode%2B7_%2BA%2BShocking%2BOccurence.mp3,-,24391117,1153DB7B6B94F8EF
10.87.166.136,20/Oct/2012:06:23:05+0000,DO-007.mp3,-,23784721,F6CE7B29B0EEA46E
107.20.158.224,14/Oct/2012:21:04:01+0000,DO-001.mp3,-,25683092,BBFBB0B421733804
107.20.158.224,14/Oct/2012:21:04:01+0000,DO-002.mp3,-,31047807,4B75AC3A1B30ACE9
107.20.158.224,15/Oct/2012:00:59:22+0000,DO-003.mp3,-,45230883,A80BB1C6008B6AA1
107.20.158.224,15/Oct/2012:05:27:13+0000,DO-004.mp3,-,40318243,4FF2AE0F4137B278
107.20.158.224,15/Oct/2012:07:49:08+0000,DO-005.mp3,-,23449999,88F84706BFD58AA7
107.20.158.224,15/Oct/2012:12:01:47+0000,DO-006.mp3,-,30293504,CAE27AA7B69DC306
108.202.73.190,19/Oct/2012:08:51:14+0000,DO-006.mp3,10140600,30293504,DF02AA7D9A1C5ADB
108.202.73.190,19/Oct/2012:08:57:56+0000,DO-006.mp3,30293504,30293504,97431763CEE869CE
120.22.133.227,20/Oct/2012:22:18:50+0000,DO-006.mp3,2,30293504,09EB777DA63B66B1
120.22.133.227,20/Oct/2012:22:18:50+0000,DO-006.mp3,2579639,30293504,15978803D95E0768
120.22.133.227,20/Oct/2012:22:18:51+0000,DO-006.mp3,7691550,30293504,D497F8FD2FB40BFD
120.22.133.227,20/Oct/2012:22:19:01+0000,DO-006.mp3,6111076,30293504,069B9FCA86305BE6
130.76.96.145,19/Oct/2012:11:56:58+0000,DO-004.mp3,40318243,40318243,407F060CF01BC7B0
130.76.96.146,17/Oct/2012:17:22:40+0000,DO-001.mp3,25683092,25683092,08DF97187C23CD67
130.76.96.146,17/Oct/2012:18:17:22+0000,DO-002.mp3,31047807,31047807,81A969B8B48D7FB3
130.76.96.149,18/Oct/2012:13:20:01+0000,DO-003.mp3,45230883,45230883,3FE6B5D0329C94A7
134.84.47.12,15/Oct/2012:21:21:05+0000,DO-006.mp3,30293504,30293504,9860B7553E262190
142.134.194.81,14/Oct/2012:00:59:22+0000,DO-006.mp3,30293504,30293504,0AF1DD7029F33A81
152.65.57.154,16/Oct/2012:05:52:03+0000,TWHC-008.mp3,46977263,46977263,266547D374E6BE12
165.196.162.180,19/Oct/2012:21:28:06+0000,DO-001.mp3,4028428,25683092,1F54E578B5B0A856
165.196.162.180,19/Oct/2012:21:28:09+0000,DO-001.mp3,4994787,25683092,A700BDB7B148B77A
165.196.162.180,19/Oct/2012:21:28:15+0000,DO-001.mp3,3923025,25683092,EA8BDE233A77B8ED
165.196.162.180,19/Oct/2012:21:28:19+0000,DO-001.mp3,5141930,25683092,073E672987A9658D
165.196.162.180,19/Oct/2012:21:28:24+0000,DO-001.mp3,1415781,25683092,82207E52BFF88F95
165.196.162.180,19/Oct/2012:21:28:26+0000,DO-001.mp3,4174745,25683092,3FB6F6EA292C9DDA
165.196.162.180,19/Oct/2012:21:28:26+0000,DO-001.mp3,47729,25683092,CFDD6744E1595093
165.196.162.180,19/Oct/2012:21:28:29+0000,DO-001.mp3,19075759,25683092,36F8BB0F866BBFE8
165.196.162.180,19/Oct/2012:21:28:35+0000,DO-001.mp3,25683092,25683092,8563297B3CCAD310
17.154.84.39,20/Oct/2012:07:20:40+0000,DO-007.mp3,-,24391117,3413089FEC9426D2
17.154.84.39,20/Oct/2012:07:20:40+0000,DO-007.mp3,2,24391117,B2DFC84CCD5DAEEF
17.230.16.163,20/Oct/2012:09:30:04+0000,DO-007.mp3,-,24391117,54689EB957E6F536
17.230.16.163,20/Oct/2012:09:30:04+0000,DO-007.mp3,2,24391117,C16AA92F56F6B7B7
17.230.34.131,15/Oct/2012:13:07:41+0000,DO-006.mp3,-,30293504,C8287D603D1278D8
17.230.34.131,15/Oct/2012:13:07:41+0000,DO-006.mp3,2,30293504,758AB6BF0F6351E6
170.11.30.141,15/Oct/2012:20:38:05+0000,DO-001.mp3,283588,25683092,7A579C3F7A43492E
170.11.30.141,15/Oct/2012:20:38:06+0000,DO-001.mp3,25683092,25683092,C82949E663771871
170.11.30.141,15/Oct/2012:20:45:35+0000,DO-002.mp3,49232,31047807,529A59D94B8666A5
170.11.30.141,15/Oct/2012:20:45:36+0000,DO-002.mp3,11352553,31047807,6C431EB8E4556252
170.11.30.141,15/Oct/2012:20:46:37+0000,DO-002.mp3,10000244,31047807,40075297114D6D51
170.11.30.141,15/Oct/2012:20:47:26+0000,DO-003.mp3,121577,45230883,7967ABBFF727FE76
170.11.30.141,15/Oct/2012:20:47:27+0000,DO-003.mp3,7296397,45230883,8B97F167C97817F3
170.11.30.141,15/Oct/2012:20:47:35+0000,DO-003.mp3,3634779,45230883,7C4CD1A39726E03C
170.11.30.141,15/Oct/2012:20:47:36+0000,DO-003.mp3,14986755,45230883,83ACE3D27BB85BE3
170.11.30.141,15/Oct/2012:20:48:56+0000,DO-003.mp3,4988400,45230883,780FC5FD43D18F59
170.11.30.141,15/Oct/2012:20:49:08+0000,DO-003.mp3,4145140,45230883,5E02B219AB1A4803
170.11.30.141,15/Oct/2012:20:49:18+0000,DO-003.mp3,5906283,45230883,91F116141F66944E
170.11.30.141,15/Oct/2012:20:49:36+0000,DO-003.mp3,5135023,45230883,2F5D4E93C513D72A
170.11.30.141,15/Oct/2012:20:49:50+0000,DO-003.mp3,5983382,45230883,C0E0B781037D87CC
170.11.30.141,15/Oct/2012:20:50:07+0000,DO-004.mp3,254683,40318243,EF9B5BA95922C410
170.11.30.141,15/Oct/2012:20:50:08+0000,DO-004.mp3,40318243,40318243,1E3AA75D052AA2D9
170.11.30.141,15/Oct/2012:20:55:02+0000,DO-004.mp3,3577123,40318243,2AEBA29D177255A5
170.11.30.141,15/Oct/2012:20:55:30+0000,DO-004.mp3,32768,40318243,B3FA203132CDAA7B
174.126.196.152,18/Oct/2012:03:12:34+0000,TWHC-008.mp3,2,46977263,2AC191867ABAEAF9
174.126.196.152,18/Oct/2012:03:12:34+0000,TWHC-008.mp3,5102156,46977263,F606AD4FB374B24F
174.126.196.152,18/Oct/2012:03:12:35+0000,TWHC-008.mp3,-,46977263,8589FE6875B4463E
174.126.196.152,18/Oct/2012:03:12:35+0000,TWHC-008.mp3,46968687,46977263,636F2FDEB8E53ED9
174.126.196.152,18/Oct/2012:03:12:35+0000,TWHC-008.mp3,56960,46977263,D4BF9B3A05FFDA5C
184.158.23.61,16/Oct/2012:17:37:30+0000,TWHC-008.mp3,46977263,46977263,665C82AD442E3951
184.97.132.8,15/Oct/2012:21:47:09+0000,DO-005.mp3,2,23449999,2087423AEACC5D58
184.97.132.8,15/Oct/2012:21:47:09+0000,DO-005.mp3,89721,23449999,F9F341745F4F82F1
184.97.132.8,15/Oct/2012:21:47:10+0000,DO-005.mp3,104201,23449999,2CAB067B373CFE95
184.97.132.8,15/Oct/2012:21:58:22+0000,DO-005.mp3,-,23449999,E3242223055F677C
184.97.132.8,15/Oct/2012:21:58:22+0000,DO-005.mp3,138898,23449999,40F423F67D7865F9
184.97.132.8,16/Oct/2012:14:10:45+0000,DO-005.mp3,-,23449999,B5C8491B57CE60E7
184.97.132.8,16/Oct/2012:14:10:46+0000,DO-005.mp3,138898,23449999,436E392F689AD194
184.97.132.8,16/Oct/2012:14:11:25+0000,DO-001.mp3,2,25683092,60E345802ACCB6AD
184.97.132.8,16/Oct/2012:14:11:26+0000,DO-001.mp3,63712,25683092,3D34A5966F18C034
184.97.132.8,16/Oct/2012:14:11:42+0000,DO-001.mp3,105649,25683092,860AE52B9D9FB76C
184.97.132.8,16/Oct/2012:14:11:42+0000,DO-001.mp3,2,25683092,DCAC9B44C51D8BF7
184.97.132.8,16/Oct/2012:14:11:43+0000,DO-001.mp3,7748710,25683092,E78EA2D9372D8934
184.97.132.8,16/Oct/2012:14:11:49+0000,DO-001.mp3,7208463,25683092,6950800B94A39718
184.97.132.8,16/Oct/2012:14:11:53+0000,DO-001.mp3,146083,25683092,DD74D4D0DD5058B7
184.97.132.8,16/Oct/2012:14:11:54+0000,DO-001.mp3,3853221,25683092,1CDFF75BD4BD4914
184.97.132.8,16/Oct/2012:14:11:55+0000,DO-001.mp3,384178,25683092,C5A498E936B7AF03
184.97.132.8,16/Oct/2012:14:11:56+0000,DO-001.mp3,105594,25683092,F671869B8BDADB37
184.97.132.8,16/Oct/2012:14:11:56+0000,DO-001.mp3,62154,25683092,84751DC7A93EB268
184.97.132.8,16/Oct/2012:14:11:57+0000,DO-001.mp3,64676,25683092,83D59306B55F4192
184.97.132.8,16/Oct/2012:14:11:58+0000,DO-001.mp3,392078,25683092,DD9B069C0F7B906F
184.97.132.8,16/Oct/2012:14:11:59+0000,DO-001.mp3,60156,25683092,1B0F95814581A89A
184.97.132.8,16/Oct/2012:14:11:59+0000,DO-001.mp3,62155,25683092,0FDBD6D45E9DA8A0
184.97.132.8,16/Oct/2012:14:12:00+0000,DO-001.mp3,1282838,25683092,C8C20593363E6E91
184.97.132.8,16/Oct/2012:14:12:00+0000,DO-001.mp3,72345,25683092,675214F46FCA7B22
184.97.132.8,16/Oct/2012:14:12:02+0000,DO-001.mp3,3939562,25683092,1291DBB7CD0A0CB2
184.97.132.8,16/Oct/2012:14:12:03+0000,DO-001.mp3,3726241,25683092,E8581AA509BCAF31
184.97.132.8,16/Oct/2012:14:12:04+0000,DO-001.mp3,3357866,25683092,1AE7001000C4784D
184.97.132.8,16/Oct/2012:14:12:04+0000,DO-001.mp3,3533546,25683092,43B32ADDDEA8BE9A
184.97.132.8,16/Oct/2012:14:12:05+0000,DO-001.mp3,86715,25683092,CC30C0C40F26D67C
184.97.132.8,16/Oct/2012:14:12:06+0000,DO-001.mp3,70326,25683092,A0E8BACE1C191436
184.97.132.8,16/Oct/2012:14:12:07+0000,DO-001.mp3,46336,25683092,6840969971CDF1FC
184.97.132.8,16/Oct/2012:14:12:07+0000,DO-001.mp3,89721,25683092,075905713621F6E5
184.97.132.8,16/Oct/2012:14:12:08+0000,DO-001.mp3,68001,25683092,13DCCB8B4A87DAF8
184.97.132.8,16/Oct/2012:14:12:09+0000,DO-001.mp3,104146,25683092,C672C5725DE3840A
184.97.132.8,16/Oct/2012:14:12:09+0000,DO-001.mp3,105649,25683092,3573D36DFB13D10D
184.97.132.8,16/Oct/2012:14:12:10+0000,DO-001.mp3,2389842,25683092,253E40A92D28FB93
184.97.132.8,16/Oct/2012:14:12:11+0000,DO-001.mp3,89666,25683092,09AB09AD351B0428
184.97.132.8,16/Oct/2012:14:12:12+0000,DO-001.mp3,63657,25683092,6B41D3C9CE0F610B
184.97.132.8,16/Oct/2012:14:12:13+0000,DO-001.mp3,101305,25683092,EBE420A84D256685
184.97.132.8,16/Oct/2012:14:12:13+0000,DO-001.mp3,65105,25683092,10AF292D6824C3B9
184.97.132.8,16/Oct/2012:14:12:14+0000,DO-001.mp3,251732,25683092,C30F2F8BD8D03646
184.97.132.8,16/Oct/2012:14:12:15+0000,DO-001.mp3,69449,25683092,BDE975BCD0A7282E
184.97.132.8,16/Oct/2012:14:12:15+0000,DO-001.mp3,79585,25683092,8818D2C93D8A2359
184.97.132.8,16/Oct/2012:14:12:16+0000,DO-001.mp3,69449,25683092,E251F58C25FBCC17
184.97.132.8,16/Oct/2012:14:12:17+0000,DO-001.mp3,65050,25683092,11F76350DA941CEE
184.97.132.8,16/Oct/2012:14:12:18+0000,DO-001.mp3,63657,25683092,0C98AFEB8CFFC4D0
184.97.132.8,16/Oct/2012:14:12:18+0000,DO-001.mp3,86716,25683092,56A676B2D2B58A2B
184.97.132.8,16/Oct/2012:14:12:19+0000,DO-001.mp3,65105,25683092,D02128BA5E31A0F3
184.97.132.8,16/Oct/2012:14:12:20+0000,DO-001.mp3,60706,25683092,40B4BC6E8C091860
184.97.132.8,16/Oct/2012:14:12:20+0000,DO-001.mp3,72345,25683092,B7D7A07BAB53F6B4
184.97.132.8,16/Oct/2012:14:12:21+0000,DO-001.mp3,65105,25683092,B41E651B92648E88
184.97.132.8,16/Oct/2012:14:12:22+0000,DO-001.mp3,69449,25683092,965BDF4DE47BE776
184.97.132.8,16/Oct/2012:14:12:22+0000,DO-001.mp3,70897,25683092,FAC4946F95A26C5F
184.97.132.8,16/Oct/2012:14:12:23+0000,DO-001.mp3,3152912,25683092,F9AA283600B58159
184.97.132.8,16/Oct/2012:14:12:24+0000,DO-001.mp3,2143941,25683092,9932FF00620A8416
184.97.132.8,16/Oct/2012:14:12:25+0000,DO-001.mp3,63603,25683092,3E6082EE8A5B022F
184.97.132.8,16/Oct/2012:14:12:25+0000,DO-001.mp3,72290,25683092,F1ED4CADE47CC5E3
184.97.132.8,16/Oct/2012:14:12:26+0000,DO-001.mp3,60761,25683092,242E26A00E87C857
184.97.132.8,16/Oct/2012:14:12:26+0000,DO-001.mp3,63657,25683092,FB19C56AEB8B0E1B
184.97.132.8,16/Oct/2012:14:12:27+0000,DO-001.mp3,106493,25683092,5D13228E88B6B353
184.97.132.8,16/Oct/2012:14:12:28+0000,DO-001.mp3,114282,25683092,E241C0F5B9F6B2BB
184.97.132.8,16/Oct/2012:14:12:28+0000,DO-001.mp3,72345,25683092,B1078407D8573705
184.97.132.8,16/Oct/2012:14:12:29+0000,DO-001.mp3,70897,25683092,E26380524DEFAE94
184.97.132.8,16/Oct/2012:14:12:30+0000,DO-001.mp3,104091,25683092,64898D139A01CAFD
184.97.132.8,16/Oct/2012:14:12:31+0000,DO-001.mp3,104146,25683092,933EDDF25A1E3716
184.97.132.8,16/Oct/2012:14:12:31+0000,DO-001.mp3,89666,25683092,110CED3374FB0D1C
184.97.132.8,16/Oct/2012:14:12:32+0000,DO-001.mp3,190971,25683092,95D09B568AFF22EB
184.97.132.8,16/Oct/2012:14:12:33+0000,DO-001.mp3,104146,25683092,6ED41DD9123E17D1
184.97.132.8,16/Oct/2012:14:12:33+0000,DO-001.mp3,3666416,25683092,0D9D2CEEA1FCD1A4
184.97.132.8,16/Oct/2012:14:12:35+0000,DO-001.mp3,103595,25683092,EA6EEF851553D891
184.97.132.8,16/Oct/2012:14:12:35+0000,DO-001.mp3,72585,25683092,931E27B0E928C561
184.97.132.8,16/Oct/2012:14:12:36+0000,DO-001.mp3,3456591,25683092,4730A52D17274F9C
184.97.132.8,16/Oct/2012:14:12:37+0000,DO-001.mp3,2348797,25683092,FFABD1DC27A44F95
184.97.132.8,16/Oct/2012:14:12:38+0000,DO-001.mp3,63657,25683092,DCD87D928AAE2586
184.97.132.8,16/Oct/2012:14:12:38+0000,DO-001.mp3,76634,25683092,2CB5779F4B2892B4
184.97.132.8,16/Oct/2012:14:12:39+0000,DO-001.mp3,104201,25683092,BE5A36C255E5CF73
184.97.132.8,16/Oct/2012:14:12:39+0000,DO-001.mp3,104201,25683092,E9C3FB0A036D3E53
184.97.132.8,16/Oct/2012:14:12:40+0000,DO-001.mp3,49122,25683092,F32778DD30C7DE8D
184.97.132.8,16/Oct/2012:14:12:41+0000,DO-001.mp3,105594,25683092,2E1C2A6CAA76904D
184.97.132.8,16/Oct/2012:14:12:41+0000,DO-001.mp3,72345,25683092,C68A755811199EFF
184.97.132.8,16/Oct/2012:14:12:42+0000,DO-001.mp3,75241,25683092,3BFD03CAC9A70826
184.97.132.8,16/Oct/2012:14:12:42+0000,DO-001.mp3,89666,25683092,2FE1629FB3D3B274
184.97.132.8,16/Oct/2012:14:12:43+0000,DO-001.mp3,89721,25683092,0969A368F9806318
184.97.132.8,16/Oct/2012:14:12:44+0000,DO-001.mp3,104201,25683092,79765D30FDEAED0B
184.97.132.8,16/Oct/2012:14:12:44+0000,DO-001.mp3,99857,25683092,8C8915E8C5C499E9
184.97.132.8,16/Oct/2012:14:12:45+0000,DO-001.mp3,1547241,25683092,ED5C4873870608BF
184.97.132.8,16/Oct/2012:14:12:46+0000,DO-001.mp3,47729,25683092,E0268040564254EA
184.97.132.8,16/Oct/2012:14:12:46+0000,DO-001.mp3,59313,25683092,37A26227619896EF
184.97.132.8,16/Oct/2012:14:12:47+0000,DO-001.mp3,70897,25683092,F644B14F08A730B2
184.97.132.8,16/Oct/2012:14:12:48+0000,DO-001.mp3,101250,25683092,D3D7F3EF6104467D
184.97.132.8,16/Oct/2012:14:12:48+0000,DO-001.mp3,72345,25683092,1000270A9736355E
184.97.132.8,16/Oct/2012:14:12:49+0000,DO-001.mp3,5256726,25683092,0D6F1B867677A937
184.97.132.8,16/Oct/2012:14:12:49+0000,DO-001.mp3,65105,25683092,599752D3435B254A
184.97.132.8,16/Oct/2012:14:12:51+0000,DO-001.mp3,162011,25683092,C8E7C0845A641FD1
184.97.132.8,16/Oct/2012:14:12:52+0000,DO-001.mp3,52073,25683092,98E01DC9F7D43687
184.97.132.8,16/Oct/2012:14:12:52+0000,DO-001.mp3,65105,25683092,E0D09B432AA465ED
184.97.132.8,16/Oct/2012:14:12:53+0000,DO-001.mp3,103650,25683092,AF487C9C60FEBD15
184.97.132.8,16/Oct/2012:14:12:54+0000,DO-001.mp3,65105,25683092,0A831CE65A9ADD13
184.97.132.8,16/Oct/2012:14:12:54+0000,DO-001.mp3,72345,25683092,4491A0A251389BF2
184.97.132.8,16/Oct/2012:14:12:55+0000,DO-001.mp3,105098,25683092,9866E63B655B647A
184.97.132.8,16/Oct/2012:14:12:56+0000,DO-001.mp3,105594,25683092,FA216056B8BADB9D
184.97.132.8,16/Oct/2012:14:12:56+0000,DO-001.mp3,63657,25683092,97B300CD318DA9AE
184.97.132.8,16/Oct/2012:14:12:57+0000,DO-001.mp3,65105,25683092,408BFE15F3ED0302
184.97.132.8,16/Oct/2012:14:12:57+0000,DO-001.mp3,69449,25683092,8CC39142947032F4
184.97.132.8,16/Oct/2012:14:12:58+0000,DO-001.mp3,2359225,25683092,EFEBCBB71EDF759C
184.97.132.8,16/Oct/2012:14:12:59+0000,DO-001.mp3,193867,25683092,9116479A5DFC5955
184.97.132.8,16/Oct/2012:14:12:59+0000,DO-001.mp3,81033,25683092,1A4D6C7464915FFD
184.97.132.8,16/Oct/2012:14:13:00+0000,DO-001.mp3,101250,25683092,F4F8184EA2CE1EF7
184.97.132.8,16/Oct/2012:14:13:01+0000,DO-001.mp3,65105,25683092,052E545B311A82EF
184.97.132.8,16/Oct/2012:14:13:01+0000,DO-001.mp3,72647,25683092,3060A07C54FEE125
184.97.132.8,16/Oct/2012:14:13:02+0000,DO-001.mp3,2167000,25683092,3265D32FA5BE2EF0
184.97.132.8,16/Oct/2012:14:13:03+0000,DO-001.mp3,81033,25683092,6CA23E7F6579C648
184.97.132.8,16/Oct/2012:14:13:04+0000,DO-001.mp3,105594,25683092,B61E042DE9DD3427
184.97.132.8,16/Oct/2012:14:13:05+0000,DO-001.mp3,104146,25683092,DF9E4ABE9F1B6DBC
184.97.132.8,16/Oct/2012:14:13:05+0000,DO-001.mp3,112834,25683092,B5668B8A8C5A9001
184.97.132.8,16/Oct/2012:14:13:06+0000,DO-001.mp3,105649,25683092,564325857DCF01C2
184.97.132.8,16/Oct/2012:14:13:07+0000,DO-001.mp3,104146,25683092,DBDE92E1A37A08CA
184.97.132.8,16/Oct/2012:14:13:07+0000,DO-001.mp3,56417,25683092,ACAD0187986F9EC4
184.97.132.8,16/Oct/2012:14:13:08+0000,DO-001.mp3,1163147,25683092,99C643A1E92245E2
184.97.132.8,16/Oct/2012:14:13:08+0000,DO-001.mp3,65105,25683092,4891C012B6ECFB08
184.97.132.8,16/Oct/2012:14:13:09+0000,DO-001.mp3,68942,25683092,1A0DD2A1143563A2
184.97.132.8,16/Oct/2012:14:13:10+0000,DO-001.mp3,40489,25683092,3795D2CF277A202A
184.97.132.8,16/Oct/2012:14:13:11+0000,DO-001.mp3,72345,25683092,474DC1E24A252BBA
184.97.132.8,16/Oct/2012:14:13:11+0000,DO-001.mp3,72345,25683092,6E1AD93F30B2B7F8
184.97.132.8,16/Oct/2012:14:13:12+0000,DO-001.mp3,105713,25683092,AF6DD055CEB79AB1
